Movie_Name,Year,Run_Time_Minutes,Score,Winner,Nominations,Winners
The Shawshank Redemption,1994,142,9.3,False,7,0
The Godfather,1972,175,9.2,True,11,3
The Dark Knight,2008,152,9.0,True,8,2
The Godfather Part II,1974,202,9.0,False,11,6
12 Angry Men,1957,96,9.0,False,3,0
The Lord of the Rings: The Return of the King,2003,201,9.0,True,11,11
Schindler's List,1993,195,9.0,False,12,7
Pulp Fiction,1994,154,8.9,False,7,1
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,False,13,4
Forrest Gump,1994,142,8.8,True,13,6
The Lord of the Rings: The Two Towers,2002,179,8.8,False,6,2
Fight Club,1999,139,8.8,False,1,0
Inception,2010,148,8.8,False,8,4
The Matrix,1999,136,8.7,True,4,4
Interstellar,2014,169,8.7,False,5,1
It's a Wonderful Life,1946,130,8.6,False,5,0
The Silence of the Lambs,1991,118,8.6,True,7,5
Saving Private Ryan,1998,169,8.6,False,11,5
City of God,2002,130,8.6,False,4,0
The Green Mile,1999,189,8.6,False,4,0
Life Is Beautiful,1997,116,8.6,True,7,3
Terminator 2: Judgment Day,1991,137,8.6,False,6,4
Back to the Future,1985,116,8.5,False,4,1
Spirited Away,2001,124,8.6,True,1,1
The Pianist,2002,150,8.5,True,7,3
Gladiator,2000,155,8.5,True,12,5
Parasite,2019,132,8.5,True,6,4
Psycho,1960,109,8.5,False,4,0
The Lion King,1994,88,8.5,True,5,2
The Departed,2006,151,8.5,False,5,4
Whiplash,2014,106,8.5,True,5,3
American History X,1998,119,8.5,False,1,0
The Prestige,2006,130,8.5,False,2,0
Spider-Man: Across the Spider-Verse,2023,140,8.5,False,1,0
Casablanca,1942,102,8.5,False,8,3
The Usual Suspects,1995,106,8.5,True,2,2
Cinema Paradiso,1988,174,8.5,True,1,1
Alien,1979,117,8.5,False,2,1
Rear Window,1954,112,8.5,False,4,0
Django Unchained,2012,165,8.5,True,5,2
Apocalypse Now,1979,147,8.4,False,8,2
Dune: Part Two,2024,166,8.5,False,5,2
Memento,2000,113,8.4,False,2,0
Raiders of the Lost Ark,1981,115,8.4,True,9,5
The Lives of Others,2006,137,8.4,True,1,1
Avengers: Infinity War,2018,149,8.4,False,1,0
Spider-Man: Into the Spider-Verse,2018,117,8.4,True,1,1
Witness for the Prosecution,1957,116,8.4,False,6,0
The Great Dictator,1940,125,8.4,False,5,0
Inglourious Basterds,2009,153,8.4,True,8,1
Aliens,1986,137,8.4,False,7,2
Coco,2017,105,8.4,True,2,2
Amadeus,1984,160,8.4,True,11,8
Toy Story,1995,81,8.3,False,4,1
Avengers: Endgame,2019,181,8.4,False,1,0
Good Will Hunting,1997,126,8.3,False,9,2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.3,False,4,0
Das Boot,1981,149,8.4,False,6,0
American Beauty,1999,122,8.3,True,8,5
Braveheart,1995,178,8.3,True,10,5
Joker,2019,122,8.3,True,11,2
Capernaum,2018,126,8.4,False,1,0
Singin' in the Rain,1952,103,8.3,False,2,0
Requiem for a Dream,2000,102,8.3,False,1,0
Toy Story 3,2010,103,8.3,True,5,2
The Hunt,2012,115,8.3,False,1,0
Eternal Sunshine of the Spotless Mind,2004,108,8.3,False,2,1
2001: A Space Odyssey,1968,149,8.3,False,4,1
Incendies,2010,131,8.3,False,1,0
The Apartment,1960,125,8.3,False,10,5
Lawrence of Arabia,1962,227,8.3,False,10,7
Double Indemnity,1944,107,8.3,False,7,0
North by Northwest,1959,136,8.3,False,3,0
Up,2009,96,8.3,True,6,3
Citizen Kane,1941,119,8.3,False,9,1
Full Metal Jacket,1987,116,8.2,False,1,0
Vertigo,1958,128,8.2,False,2,0
Amélie,2001,122,8.3,False,5,0
A Separation,2011,123,8.3,True,2,1
To Kill a Mockingbird,1962,129,8.3,True,8,3
A Clockwork Orange,1971,136,8.2,False,4,0
Die Hard,1988,132,8.2,False,4,0
Indiana Jones and the Last Crusade,1989,127,8.2,False,3,1
The Sting,1973,129,8.3,False,10,7
Oppenheimer,2023,180,8.3,True,13,7
1917,2019,119,8.2,True,10,3
L.A. Confidential,1997,138,8.2,True,9,2
Downfall,2004,156,8.2,False,1,0
The Wolf of Wall Street,2013,180,8.2,False,5,0
Taxi Driver,1976,114,8.2,False,4,0
Green Book,2018,130,8.2,False,5,3
Batman Begins,2005,140,8.2,False,1,0
The Truman Show,1998,103,8.2,False,3,0
Judgment at Nuremberg,1961,179,8.3,True,11,2
Some Like It Hot,1959,121,8.2,False,6,1
The Father,2020,97,8.2,True,6,2
Jurassic Park,1993,127,8.2,True,3,3
There Will Be Blood,2007,158,8.2,True,8,2
Casino,1995,178,8.2,False,1,0
The Sixth Sense,1999,107,8.2,False,6,0
Ran,1985,160,8.2,False,4,1
Top Gun: Maverick,2022,130,8.2,False,6,1
No Country for Old Men,2007,122,8.2,True,8,4
Pan's Labyrinth,2006,118,8.2,True,6,3
Unforgiven,1992,130,8.2,False,9,4
A Beautiful Mind,2001,135,8.2,False,8,4
The Treasure of the Sierra Madre,1948,126,8.2,True,4,3
Prisoners,2013,153,8.2,False,1,0
Yojimbo,1961,110,8.2,False,1,0
Finding Nemo,2003,100,8.2,True,4,1
Howl's Moving Castle,2004,119,8.2,False,1,0
The Great Escape,1963,172,8.2,False,1,0
The Elephant Man,1980,124,8.2,False,8,0
Gone with the Wind,1939,238,8.2,False,14,9
Klaus,2019,96,8.2,False,1,0
Rashomon,1950,88,8.2,True,2,1
Chinatown,1974,130,8.1,False,11,1
The Secret in Their Eyes,2009,129,8.2,True,1,1
Inside Out,2015,95,8.1,True,2,1
The Bridge on the River Kwai,1957,161,8.1,True,8,7
Trainspotting,1996,93,8.1,False,1,0
Catch Me If You Can,2002,141,8.1,False,2,0
Raging Bull,1980,129,8.1,True,8,2
The Wild Robot,2024,102,8.2,False,3,0
Fargo,1996,98,8.1,False,7,2
Warrior,2011,140,8.1,False,1,0
Million Dollar Baby,2004,132,8.1,False,7,4
Ben-Hur,1959,212,8.1,True,12,11
Mad Max: Fury Road,2015,120,8.1,False,10,6
Spider-Man: No Way Home,2021,148,8.2,False,1,0
Barry Lyndon,1975,185,8.1,True,7,4
Dead Poets Society,1989,128,8.1,False,4,1
Children of Heaven,1997,89,8.2,False,1,0
12 Years a Slave,2013,134,8.1,False,9,3
The Grand Budapest Hotel,2014,99,8.1,False,9,4
Hacksaw Ridge,2016,139,8.1,False,6,2
Blade Runner,1982,117,8.1,False,2,0
Gone Girl,2014,149,8.1,False,1,0
Ratatouille,2007,111,8.1,True,5,1
"Monsters, Inc.",2001,92,8.1,False,4,1
In the Name of the Father,1993,133,8.1,False,7,0
How to Train Your Dragon,2010,98,8.1,False,2,0
Wild Tales,2014,122,8.1,False,1,0
The Gold Rush,1925,95,8.1,False,2,0
Jaws,1975,124,8.1,True,4,3
The Deer Hunter,1978,183,8.1,False,9,5
Ford v Ferrari,2019,152,8.1,True,4,2
Mr. Smith Goes to Washington,1939,129,8.1,False,11,1
On the Waterfront,1954,108,8.1,True,12,8
Wild Strawberries,1957,92,8.1,False,1,0
Logan,2017,137,8.1,False,1,0
Rocky,1976,120,8.1,False,10,3
The Third Man,1949,104,8.1,True,3,1
I'm Still Here,2024,137,8.3,False,3,1
Spotlight,2015,129,8.1,False,6,2
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,False,5,0
Room,2015,118,8.1,True,4,1
Hotel Rwanda,2004,121,8.1,False,3,0
Platoon,1986,120,8.1,False,8,4
The Best Years of Our Lives,1946,170,8.1,True,9,8
Before Sunset,2004,80,8.1,False,1,0
The Exorcist,1973,122,8.1,False,10,2
The Sound of Music,1965,172,8.1,False,10,5
The Wizard of Oz,1939,102,8.1,False,6,2
The Incredibles,2004,115,8.0,True,4,2
Stand by Me,1986,89,8.1,False,1,0
Network,1976,121,8.1,True,10,4
To Be or Not to Be,1942,99,8.1,False,2,0
The Battle of Algiers,1966,121,8.1,False,3,0
The Grapes of Wrath,1940,129,8.1,False,7,2
Into the Wild,2007,148,8.0,False,2,0
The Help,2011,146,8.1,False,4,1
Amores Perros,2000,154,8.0,False,1,0
Rebecca,1940,130,8.1,False,11,2
